City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sao Jose Da Coroa Grande,BR,72.61,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
4,Pacific Grove,US,61.52,clear sky,36.6177,-121.9166,Lovers Point Inn
5,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
6,Hermanus,ZA,61.09,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Busselton,AU,62.53,few clouds,-33.65,115.3333,Observatory Guest House
8,Hilo,US,74.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,Faanui,PF,78.93,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
10,Hobart,AU,65.23,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
12,Betare Oya,CM,69.85,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
13,Kaeo,NZ,60.33,clear sky,-35.1,173.7833,Bushido Lodge
16,Atuona,PF,76.42,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
17,Rikitea,PF,73.38,clear sky,-23.1203,-134.9692,People ThankYou
24,Hamilton,US,72.72,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
25,New Norfolk,AU,64.89,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
26,Auki,SB,74.77,overcast clouds,-8.7676,160.7034,Auki Motel
28,Luanda,AO,69.8,mist,-8.8368,13.2343,EPIC SANA Luanda
31,Shupiyan,IN,70.29,clear sky,33.7167,74.8333,Aarif beigh
33,Port Elizabeth,ZA,62.31,clear sky,-33.918,25.5701,39 On Nile Guest House
34,Pitimbu,BR,72.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
35,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
36,Panguna,PG,69.21,moderate rain,-6.3164,155.4848,
42,Yangambi,CD,68.67,overcast clouds,0.8102,24.4336,
43,Airai,TL,76.91,scattered clouds,-8.9266,125.4092,
45,Coalinga,US,65.03,scattered clouds,36.1397,-120.3602,Royal Lodge Motel
47,Alikalia,SL,69.4,light rain,9.1667,-11.4,
48,Carmen,MX,79.88,broken clouds,18.6333,-91.8333,Hotel Lossandes
49,Longonjo,AO,74.53,clear sky,-12.9067,15.2533,
56,Carnarvon,AU,71.1,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
57,Bethel,US,62.55,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
58,Vao,NC,73.09,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
60,Sambava,MG,75.45,clear sky,-14.2667,50.1667,Melrose
61,Russell,US,72.01,mist,32.3502,-85.1999,Macs
63,Chitre,PA,76.28,overcast clouds,7.9667,-80.4333,Gran Hotel Azuero
64,Bud,US,74.14,clear sky,39.447,-86.1758,Ted McQuinn Trust
65,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
68,Natalinsk,RU,67.71,broken clouds,56.4739,57.8698,
71,Sinnamary,GF,76.96,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
74,Esperance,AU,67.89,clear sky,-33.8667,121.9,Hospitality Esperance
