City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,56.59,98,100,6.87,overcast clouds
1,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,72.61,85,26,3.89,scattered clouds
2,Pictou,CA,45.6834,-62.7153,58.44,88,100,23.02,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,6.91,clear sky
4,Pacific Grove,US,36.6177,-121.9166,61.52,86,9,3.0,clear sky
5,Ponta Do Sol,PT,32.6667,-17.1,72.23,84,7,2.84,clear sky
6,Hermanus,ZA,-34.4187,19.2345,61.09,57,100,4.05,overcast clouds
7,Busselton,AU,-33.65,115.3333,62.53,70,17,19.98,few clouds
8,Hilo,US,19.7297,-155.09,74.25,96,28,3.0,scattered clouds
9,Faanui,PF,-16.4833,-151.75,78.93,76,7,21.05,clear sky
10,Hobart,AU,-42.8794,147.3294,65.23,77,75,9.22,broken clouds
11,Constitucion,CL,-35.3333,-72.4167,43.18,83,10,4.38,clear sky
12,Betare Oya,CM,5.6,14.0833,69.85,83,100,2.48,overcast clouds
13,Kaeo,NZ,-35.1,173.7833,60.33,80,0,6.24,clear sky
14,Vestmannaeyjar,IS,63.4427,-20.2734,50.83,87,100,7.11,overcast clouds
15,Hithadhoo,MV,-0.6,73.0833,81.39,73,8,2.15,clear sky
16,Atuona,PF,-9.8,-139.0333,76.42,79,21,20.76,light rain
17,Rikitea,PF,-23.1203,-134.9692,73.38,71,3,16.55,clear sky
18,Albany,US,42.6001,-73.9662,58.17,87,2,3.22,clear sky
19,Mataura,NZ,-46.1927,168.8643,46.47,83,89,1.83,overcast clouds
20,Severo-Kurilsk,RU,50.6789,156.125,50.23,71,100,13.56,overcast clouds
21,Esna,EG,25.2934,32.554,80.62,27,0,12.06,clear sky
22,Labuhan,ID,-6.8844,112.2051,84.16,65,100,10.33,light rain
23,Yellowknife,CA,62.456,-114.3525,43.32,100,20,6.91,few clouds
24,Hamilton,US,39.1834,-84.5333,72.72,86,0,4.61,mist
25,New Norfolk,AU,-42.7826,147.0587,64.89,53,100,1.77,overcast clouds
26,Auki,SB,-8.7676,160.7034,74.77,92,100,2.06,overcast clouds
27,The Pas,CA,53.8251,-101.2541,44.62,100,100,8.05,mist
28,Luanda,AO,-8.8368,13.2343,69.8,94,75,2.3,mist
29,Dunmore Town,BS,25.5,-76.65,84.54,70,0,16.87,clear sky
30,Codrington,AU,-38.2667,141.9667,54.99,93,100,2.75,overcast clouds
31,Shupiyan,IN,33.7167,74.8333,70.29,59,8,3.06,clear sky
32,Kavaratti,IN,10.5669,72.642,81.09,75,100,10.25,overcast clouds
33,Port Elizabeth,ZA,-33.918,25.5701,62.31,72,0,8.05,clear sky
34,Pitimbu,BR,-7.4706,-34.8086,72.19,83,4,4.94,clear sky
35,Avarua,CK,-21.2078,-159.775,73.45,83,75,13.8,broken clouds
36,Panguna,PG,-6.3164,155.4848,69.21,95,100,0.69,moderate rain
37,Diu,IN,20.7141,70.9822,84.09,63,25,10.63,scattered clouds
38,Tuktoyaktuk,CA,69.4541,-133.0374,40.44,84,78,27.2,broken clouds
