City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-09-20 21:26:11,-54.8,-68.3,47.86,43,75,9.22
1,Teahupoo,PF,2022-09-20 21:26:27,-17.8333,-149.2667,75.16,75,78,17.87
2,Vila,PT,2022-09-20 21:26:28,42.0304,-8.1588,62.71,73,87,2.33
3,Tuktoyaktuk,CA,2022-09-20 21:21:40,69.4541,-133.0374,44.6,93,100,8.05
4,Cherskiy,RU,2022-09-20 21:26:28,68.75,161.3,38.3,63,100,15.99
5,Christchurch,NZ,2022-09-20 21:25:13,-43.5333,172.6333,52.92,85,100,10.36
6,Anori,BR,2022-09-20 21:26:29,-3.7728,-61.6442,91.67,37,94,4.74
7,Alta Floresta,BR,2022-09-20 21:26:29,-9.8756,-56.0861,88.34,44,59,3.94
8,Hilo,US,2022-09-20 21:26:30,19.7297,-155.09,84.27,60,20,5.99
9,Rikitea,PF,2022-09-20 21:23:13,-23.1203,-134.9692,73.15,77,0,16.04
10,Mayumba,GA,2022-09-20 21:26:30,-3.432,10.6554,75.43,86,100,8.01
11,Kapaa,US,2022-09-20 21:26:31,22.0752,-159.319,84.52,67,20,12.66
12,Albany,US,2022-09-20 21:23:58,42.6001,-73.9662,71.17,75,42,8.01
13,Bengkulu,ID,2022-09-20 21:26:31,-3.8004,102.2655,74.82,91,100,5.01
14,Vaini,TO,2022-09-20 21:26:32,-21.2,-175.2,77.16,83,100,11.5
15,Gaya,IN,2022-09-20 21:26:32,24.7833,85.0,78.71,100,40,3.44
16,Yulara,AU,2022-09-20 21:26:32,-25.2406,130.9889,53.85,51,0,9.6
17,New Norfolk,AU,2022-09-20 21:26:33,-42.7826,147.0587,53.71,67,89,3.06
18,Saint-Philippe,RE,2022-09-20 21:26:33,-21.3585,55.7679,69.39,87,67,14.79
19,Kodinsk,RU,2022-09-20 21:26:33,58.6881,99.1844,34.59,77,97,13.85
20,Mount Gambier,AU,2022-09-20 21:26:34,-37.8333,140.7667,50.25,99,100,3.53
21,Te Anau,NZ,2022-09-20 21:22:50,-45.4167,167.7167,45.03,90,91,0.78
22,Bulgan,MN,2022-09-20 21:26:34,48.8125,103.5347,39.38,91,100,5.41
23,Padang,ID,2022-09-20 21:26:35,-0.9492,100.3543,76.42,88,98,3.87
24,Rorvik,NO,2022-09-20 21:26:35,64.8621,11.2373,37.51,93,20,2.3
25,Atuona,PF,2022-09-20 21:26:35,-9.8,-139.0333,76.21,77,37,20.92
26,Busselton,AU,2022-09-20 21:26:36,-33.65,115.3333,57.94,71,3,16.62
27,Umm Lajj,SA,2022-09-20 21:26:36,25.0213,37.2685,80.87,56,0,2.21
28,Esperance,AU,2022-09-20 21:26:36,-33.8667,121.9,53.46,86,0,12.91
29,Pangody,RU,2022-09-20 21:26:37,65.85,74.4859,46.94,97,100,18.77
30,Marrakesh,MA,2022-09-20 21:22:59,31.6315,-8.0083,77.07,65,40,9.22
31,Bethel,US,2022-09-20 21:26:37,41.3712,-73.414,75.94,63,75,6.91
32,Iqaluit,CA,2022-09-20 21:26:37,63.7506,-68.5145,40.73,86,100,3.44
33,Srednekolymsk,RU,2022-09-20 21:24:03,67.45,153.6833,36.64,91,100,20.36
34,Mataura,NZ,2022-09-20 21:26:38,-46.1927,168.8643,46.47,97,99,0.72
35,Qianan,CN,2022-09-20 21:26:38,44.9932,124.0581,48.31,49,1,15.21
36,Georgetown,MY,2022-09-20 21:22:44,5.4112,100.3354,78.73,94,20,2.3
37,Lagoa,PT,2022-09-20 21:26:39,39.05,-27.9833,73.96,82,18,5.77
38,Gao,ML,2022-09-20 21:22:07,16.6362,1.637,89.98,42,4,9.6
39,Klaebu,NO,2022-09-20 21:26:40,63.2976,10.4826,40.35,89,57,4.27
40,Tasiilaq,GL,2022-09-20 21:26:41,65.6145,-37.6368,39.36,98,100,5.75
41,Galesong,ID,2022-09-20 21:26:41,-5.3166,119.3661,75.22,80,100,4.09
42,Ottersberg,DE,2022-09-20 21:26:41,53.1,9.15,48.13,79,2,4.0
43,Iwanai,JP,2022-09-20 21:26:42,42.9744,140.5089,49.42,69,58,3.27
44,Svetlyy,RU,2022-09-20 21:26:42,54.675,20.1347,53.96,86,35,11.41
45,Seoul,KR,2022-09-20 21:26:42,37.5683,126.9778,56.64,85,0,2.3
46,Goba,ET,2022-09-20 21:26:43,7.0167,39.9833,49.23,90,100,5.01
47,Ormara,PK,2022-09-20 21:26:43,25.2088,64.6357,79.43,81,45,12.08
48,Pangnirtung,CA,2022-09-20 21:26:07,66.1451,-65.7125,37.4,60,75,11.5
49,Upernavik,GL,2022-09-20 21:27:44,72.7868,-56.1549,33.39,97,100,6.31
50,Bambous Virieux,MU,2022-09-20 21:27:44,-20.3428,57.7575,71.22,88,40,9.22
51,Port Elizabeth,ZA,2022-09-20 21:27:44,-33.918,25.5701,57.49,91,40,5.75
52,Egvekinot,RU,2022-09-20 21:27:45,66.3167,-179.1667,34.83,86,33,7.45
53,Turukhansk,RU,2022-09-20 21:27:45,65.8167,87.9833,31.48,61,99,8.01
54,Victoria,HK,2022-09-20 21:26:28,22.2855,114.1577,83.32,80,55,10.0
55,Dourbali,TD,2022-09-20 21:27:46,11.8091,15.8632,78.73,77,100,9.06
